ADC—Add
14 ib                                   |ADC AL, imm8
15 iw                                   |ADC AX, imm16
15 id                                   |ADC EAX, imm32
REX.W + 15 id                           |ADC RAX, imm32
80 /2 ib                                |ADC r/m8, imm8
REX + 80 /2 ib                          |ADC r/m8 , imm8
81 /2 iw                                |ADC r/m16, imm16
81 /2 id                                |ADC r/m32, imm32
REX.W + 81 /2 id                        |ADC r/m64, imm32
83 /2 ib                                |ADC r/m16, imm8
83 /2 ib                                |ADC r/m32, imm8
REX.W + 83 /2 ib                        |ADC r/m64, imm8
10 /r                                   |ADC r/m8, r8
REX + 10 /r                             |ADC r/m8 , r8
11 /r                                   |ADC r/m16, r16
11 /r                                   |ADC r/m32, r32
REX.W + 11 /r                           |ADC r/m64, r64
12 /r                                   |ADC r8, r/m8
REX + 12 /r                             |ADC r8 , r/m8
13 /r                                   |ADC r16, r/m16
13 /r                                   |ADC r32, r/m32
REX.W + 13 /r                           |ADC r64, r/m64
ADCX—Unsigned
66 0F 38 F6 /r                          |ADCX r32, r/m32
66 REX.w 0F 38 F6 /r                    |ADCX r64, r/m64
ADD—Add
04 ib                                   |ADD AL, imm8
05 iw                                   |ADD AX, imm16
05 id                                   |ADD EAX, imm32
REX.W + 05 id                           |ADD RAX, imm32
80 /0 ib                                |ADD r/m8, imm8
REX + 80 /0 ib                          |ADD r/m8 , imm8
81 /0 iw                                |ADD r/m16, imm16
81 /0 id                                |ADD r/m32, imm32
REX.W + 81 /0 id                        |ADD r/m64, imm32
83 /0 ib                                |ADD r/m16, imm8
83 /0 ib                                |ADD r/m32, imm8
REX.W + 83 /0 ib                        |ADD r/m64, imm8
00 /r                                   |ADD r/m8, r8
REX + 00 /r                             |ADD r/m8 , r8
01 /r                                   |ADD r/m16, r16
01 /r                                   |ADD r/m32, r32
REX.W + 01 /r                           |ADD r/m64, r64
02 /r                                   |ADD r8, r/m8
REX + 02 /r                             |ADD r8 , r/m8
03 /r                                   |ADD r16, r/m16
03 /r                                   |ADD r32, r/m32
REX.W + 03 /r                           |ADD r64, r/m64
ADDPD—Add
66 0F 58 /r                             |ADDPD xmm1, xmm2/m128
VEX.128.66.0F.WIG 58 /r                 |VADDPD xmm1,xmm2,xmm3/m128
VEX.256.66.0F.WIG 58 /r                 |VADDPD ymm1, ymm2,ymm3/m256
ADDPS—Add
NP 0F 58 /r                             |ADDPS xmm1, xmm2/m128
VEX.128.0F.WIG 58 /r                    |VADDPS xmm1,xmm2, xmm3/m128
VEX.256.0F.WIG 58 /r                    |VADDPS ymm1, ymm2, ymm3/m256
ADDSD—Add
F2 0F 58 /r                             |ADDSD xmm1, xmm2/m64
VEX.LIG.F2.0F.WIG 58 /r                 |VADDSD xmm1, xmm2,xmm3/m64
ADDSS—Add
F3 0F 58 /r                             |ADDSS xmm1, xmm2/m32
VEX.LIG.F3.0F.WIG 58 /r                 |VADDSS xmm1,xmm2,xmm3/m32
ADDSUBPD—Packed
66 0F D0 /r                             |ADDSUBPD xmm1, xmm2/m128
VEX.128.66.0F.WIG D0 /r                 |VADDSUBPD xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG D0 /r                 |VADDSUBPD ymm1, ymm2, ymm3/m256
ADDSUBPS—Packed
F2 0F D0 /r                             |ADDSUBPS xmm1, xmm2/m128
VEX.128.F2.0F.WIG D0 /r                 |VADDSUBPS xmm1, xmm2, xmm3/m128
VEX.256.F2.0F.WIG D0 /r                 |VADDSUBPS ymm1, ymm2, ymm3/m256
AESDEC—Perform
66 0F 38 DE /r                          |AESDEC xmm1, xmm2/m128
VEX.128.66.0F38.WIG DE /r               |VAESDEC xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG DE /r               |VAESDEC ymm1, ymm2, ymm3/m256
AESDEC128KL—Perform
F3 0F 38 DD !(11):rrr:bbb               |AESDEC128KL xmm, m384
AESDEC256KL—Perform
F3 0F 38 DF !(11):rrr:bbb               |AESDEC256KL xmm, m512
AESDECLAST—Perform
66 0F 38 DF /r                          |AESDECLAST xmm1, xmm2/m128
VEX.128.66.0F38.WIG DF /r               |VAESDECLAST xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG DF /r               |VAESDECLAST ymm1, ymm2, ymm3/m256
AESDECWIDE128KL—Perform
F3 0F 38 D8 !(11):001:bbb               |AESDECWIDE128KL m384, <XMM0-7>
AESDECWIDE256KL—Perform
F3 0F 38 D8 !(11):011:bbb               |AESDECWIDE256KL m512, <XMM0-7>
AESENC—Perform
66 0F 38 DC /r                          |AESENC xmm1, xmm2/m128
VEX.128.66.0F38.WIG DC /r               |VAESENC xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG DC /r               |VAESENC ymm1, ymm2, ymm3/m256
AESENC128KL—Perform
F3 0F 38 DC !(11):rrr:bbb               |AESENC128KL xmm, m384
AESENC256KL—Perform
F3 0F 38 DE !(11):rrr:bbb               |AESENC256KL xmm, m512
AESENCLAST—Perform
66 0F 38 DD /r                          |AESENCLAST xmm1, xmm2/m128
VEX.128.66.0F38.WIG DD /r               |VAESENCLAST xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG DD /r               |VAESENCLAST ymm1, ymm2, ymm3/m256
AESENCWIDE128KL—Perform
F3 0F 38 D8 !(11):000:bbb               |AESENCWIDE128KL m384, <XMM0-7>
AESENCWIDE256KL—Perform
F3 0F 38 D8 !(11):010:bbb               |AESENCWIDE256KL m512, <XMM0-7>
AESIMC—Perform
66 0F 38 DB /r                          |AESIMC xmm1, xmm2/m128
VEX.128.66.0F38.WIG DB /r               |VAESIMC xmm1, xmm2/m128
AESKEYGENASSIST—AES
66 0F 3A DF /r ib                       |AESKEYGENASSIST xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG DF /r ib            |VAESKEYGENASSIST xmm1, xmm2/m128, imm8
AND—Logical
24 ib                                   |AND AL, imm8
25 iw                                   |AND AX, imm16
25 id                                   |AND EAX, imm32
REX.W + 25 id                           |AND RAX, imm32
80 /4 ib                                |AND r/m8, imm8
REX + 80 /4 ib                          |AND r/m8 , imm8
81 /4 iw                                |AND r/m16, imm16
81 /4 id                                |AND r/m32, imm32
REX.W + 81 /4 id                        |AND r/m64, imm32
83 /4 ib                                |AND r/m16, imm8
83 /4 ib                                |AND r/m32, imm8
REX.W + 83 /4 ib                        |AND r/m64, imm8
20 /r                                   |AND r/m8, r8
REX + 20 /r                             |AND r/m8 , r8
21 /r                                   |AND r/m16, r16
21 /r                                   |AND r/m32, r32
REX.W + 21 /r                           |AND r/m64, r64
22 /r                                   |AND r8, r/m8
REX + 22 /r                             |AND r8 , r/m8
23 /r                                   |AND r16, r/m16
23 /r                                   |AND r32, r/m32
REX.W + 23 /r                           |AND r64, r/m64
ANDN—Logical
VEX.LZ.0F38.W0 F2 /r                    |ANDN r32a, r32b, r/m32
VEX.LZ. 0F38.W1 F2 /r                   |ANDN r64a, r64b, r/m64
ANDPD—Bitwise
66 0F 54 /r                             |ANDPD xmm1, xmm2/m128
VEX.128.66.0F 54 /r                     |VANDPD xmm1, xmm2, xmm3/m128
VEX.256.66.0F 54 /r                     |VANDPD ymm1, ymm2, ymm3/m256
ANDPS—Bitwise
NP 0F 54 /r                             |ANDPS xmm1, xmm2/m128
VEX.128.0F 54 /r                        |VANDPS xmm1,xmm2,xmm3/m128
VEX.256.0F 54 /r                        |VANDPS ymm1, ymm2,ymm3/m256
ANDNPD—Bitwise
66 0F 55 /r                             |ANDNPD xmm1, xmm2/m128
VEX.128.66.0F 55 /r                     |VANDNPD xmm1, xmm2,xmm3/m128
VEX.256.66.0F 55/r                      |VANDNPD ymm1, ymm2,ymm3/m256
ANDNPS—Bitwise
NP 0F 55 /r                             |ANDNPS xmm1, xmm2/m128
VEX.128.0F 55 /r                        |VANDNPS xmm1, xmm2,xmm3/m128
VEX.256.0F 55 /r                        |VANDNPS ymm1, ymm2,ymm3/m256
BEXTR—Bit
VEX.LZ.0F38.W0 F7 /r                    |BEXTR r32a, r/m32, r32b
VEX.LZ.0F38.W1 F7 /r                    |BEXTR r64a, r/m64, r64b
BLENDPD—Blend
66 0F 3A 0D /r ib                       |BLENDPD xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 0D /r ib            |VBLENDPD xmm1, xmm2, xmm3/m128, imm8
VEX.256.66.0F3A.WIG 0D /r ib            |VBLENDPD ymm1, ymm2, ymm3/m256, imm8
BLENDPS—Blend
66 0F 3A 0C /r ib                       |BLENDPS xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 0C /r ib            |VBLENDPS xmm1, xmm2, xmm3/m128, imm8
VEX.256.66.0F3A.WIG 0C /r ib            |VBLENDPS ymm1, ymm2, ymm3/m256, imm8
BLENDVPD—Variable
66 0F 38 15 /r                          |BLENDVPD xmm1, xmm2/m128 , <XMM0>
VEX.128.66.0F3A.W0 4B /r /is4           |VBLENDVPD xmm1, xmm2, xmm3/m128, xmm4
VEX.256.66.0F3A.W0 4B /r /is4           |VBLENDVPD ymm1, ymm2, ymm3/m256, ymm4
BLENDVPS—Variable
66 0F 38 14 /r                          |BLENDVPS xmm1, xmm2/m128, <XMM0>
VEX.128.66.0F3A.W0 4A /r /is4           |VBLENDVPS xmm1, xmm2, xmm3/m128, xmm4
VEX.256.66.0F3A.W0 4A /r /is4           |VBLENDVPS ymm1, ymm2, ymm3/m256, ymm4
BLSI—Extract
VEX.LZ.0F38.W0 F3 /3                    |BLSI r32, r/m32
VEX.LZ.0F38.W1 F3 /3                    |BLSI r64, r/m64
BLSMSK—Get
VEX.LZ.0F38.W0 F3 /2                    |BLSMSK r32, r/m32
VEX.LZ.0F38.W1 F3 /2                    |BLSMSK r64, r/m64
BLSR—Reset
VEX.LZ.0F38.W0 F3 /1                    |BLSR r32, r/m32
VEX.LZ.0F38.W1 F3 /1                    |BLSR r64, r/m64
BNDCL—Check
F3 0F 1A /r                             |BNDCL bnd, r/m64
BNDCU/BNDCN—Check
F2 0F 1A /r                             |BNDCU bnd, r/m64
F2 0F 1B /r                             |BNDCN bnd, r/m64
BNDLDX—Load
NP 0F 1A /r                             |BNDLDX bnd, mib
BNDMK—Make
F3 0F 1B /r                             |BNDMK bnd, m64
BNDMOV—Move
66 0F 1A /r                             |BNDMOV bnd1, bnd2/m128
66 0F 1B /r                             |BNDMOV bnd1/m128, bnd2
BNDSTX—Store
NP 0F 1B /r                             |BNDSTX mib, bnd
BSF—Bit
0F BC /r                                |BSF r16, r/m16
0F BC /r                                |BSF r32, r/m32
REX.W + 0F BC /r                        |BSF r64, r/m64
BSR—Bit
0F BD /r                                |BSR r16, r/m16
0F BD /r                                |BSR r32, r/m32
REX.W + 0F BD /r                        |BSR r64, r/m64
BSWAP—Byte
0F C8+rd                                |BSWAP r32
REX.W + 0F C8+rd                        |BSWAP r64
BT—Bit
0F A3 /r                                |BT r/m16, r16
